Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	Harq ID	K1 Delay
0.413071	DL DCI Rxed	41	3	0	1	1	0	15	2
0.413071	DL DCI Rxed	41	3	0	3	1	0	15	2
0.414071	DL DCI Rxed	41	4	0	1	1	0	14	2
0.414071	DL DCI Rxed	41	4	0	3	1	0	14	2
0.415071	DL DCI Rxed	41	5	0	1	1	0	13	2
0.415071	DL DCI Rxed	41	5	0	3	1	0	13	2
0.415929	HARQ FD Txed	41	5	0	3	1	0	15	2
0.415929	HARQ FD Txed	41	5	0	1	1	0	15	2
0.416071	DL DCI Rxed	41	6	0	1	1	0	12	2
0.416071	DL DCI Rxed	41	6	0	3	1	0	12	2
0.416929	HARQ FD Txed	41	6	0	3	1	0	14	2
0.416929	HARQ FD Txed	41	6	0	1	1	0	14	2
0.417071	DL DCI Rxed	41	7	0	1	1	0	11	2
0.417071	DL DCI Rxed	41	7	0	3	1	0	11	2
0.417929	HARQ FD Txed	41	7	0	1	1	0	13	2
0.417929	HARQ FD Txed	41	7	0	3	1	0	13	2
0.418071	DL DCI Rxed	41	8	0	1	1	0	15	2
0.418071	DL DCI Rxed	41	8	0	3	1	0	15	2
0.418929	HARQ FD Txed	41	8	0	1	1	0	12	2
0.418929	HARQ FD Txed	41	8	0	3	1	0	12	2
0.419071	DL DCI Rxed	41	9	0	1	1	0	14	2
0.419071	DL DCI Rxed	41	9	0	3	1	0	14	2
0.419929	HARQ FD Txed	41	9	0	1	1	0	11	2
0.419929	HARQ FD Txed	41	9	0	3	1	0	11	2
0.420929	HARQ FD Txed	42	0	0	1	1	0	15	2
0.420929	HARQ FD Txed	42	0	0	3	1	0	15	2
0.421929	HARQ FD Txed	42	1	0	1	1	0	14	2
0.421929	HARQ FD Txed	42	1	0	3	1	0	14	2
