Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0	gNB PHY Txed	0	0	0	1	0	0	MIB
0	gNB PHY Txed	0	0	0	3	0	0	MIB
0.005	gNB PHY Txed	0	5	0	1	0	0	SIB1
0.005	gNB PHY Txed	0	5	0	3	0	0	SIB1
0.01	gNB PHY Txed	1	0	0	1	0	0	MIB
0.01	gNB PHY Txed	1	0	0	3	0	0	MIB
0.015	gNB PHY Txed	1	5	0	1	0	0	SIB1
0.015	gNB PHY Txed	1	5	0	3	0	0	SIB1
0.02	gNB PHY Txed	2	0	0	1	0	0	RAR
0.02	gNB PHY Txed	2	0	0	1	0	0	MIB
0.02	gNB PHY Txed	2	0	0	3	0	0	MIB
0.02	gNB PHY Txed	2	0	0	3	0	0	RAR
0.024	gNB PHY Txed	2	4	0	1	0	0	UL_UCI
0.025	gNB PHY Txed	2	5	0	1	0	0	SIB1
0.025	gNB PHY Txed	2	5	0	3	0	0	SIB1
0.03	gNB PHY Txed	3	0	0	1	0	0	MIB
0.03	gNB PHY Txed	3	0	0	3	0	0	MIB
0.035	gNB PHY Txed	3	5	0	1	0	0	SIB1
0.035	gNB PHY Txed	3	5	0	3	0	0	SIB1
0.04	gNB PHY Txed	4	0	0	1	0	0	MIB
0.04	gNB PHY Txed	4	0	0	3	0	0	MIB
0.045	gNB PHY Txed	4	5	0	1	0	0	SIB1
0.045	gNB PHY Txed	4	5	0	3	0	0	SIB1
0.05	gNB PHY Txed	5	0	0	1	0	0	MIB
0.05	gNB PHY Txed	5	0	0	3	0	0	MIB
0.055	gNB PHY Txed	5	5	0	1	0	0	SIB1
0.055	gNB PHY Txed	5	5	0	3	0	0	SIB1
0.06	gNB PHY Txed	6	0	0	1	0	0	MIB
0.06	gNB PHY Txed	6	0	0	3	0	0	MIB
0.065	gNB PHY Txed	6	5	0	1	0	0	SIB1
0.065	gNB PHY Txed	6	5	0	3	0	0	SIB1
0.07	gNB PHY Txed	7	0	0	1	0	0	MIB
0.07	gNB PHY Txed	7	0	0	3	0	0	MIB
0.075	gNB PHY Txed	7	5	0	1	0	0	SIB1
0.075	gNB PHY Txed	7	5	0	3	0	0	SIB1
0.08	gNB PHY Txed	8	0	0	1	0	0	MIB
0.08	gNB PHY Txed	8	0	0	3	0	0	MIB
0.085	gNB PHY Txed	8	5	0	1	0	0	SIB1
0.085	gNB PHY Txed	8	5	0	3	0	0	SIB1
0.09	gNB PHY Txed	9	0	0	1	0	0	MIB
0.09	gNB PHY Txed	9	0	0	3	0	0	MIB
0.095	gNB PHY Txed	9	5	0	1	0	0	SIB1
0.095	gNB PHY Txed	9	5	0	3	0	0	UL_UCI
0.095	gNB PHY Txed	9	5	0	3	0	0	SIB1
0.1	gNB PHY Txed	10	0	0	1	0	0	MIB
0.1	gNB PHY Txed	10	0	0	3	0	0	MIB
0.104	gNB PHY Txed	10	4	0	1	0	0	UL_UCI
0.105	gNB PHY Txed	10	5	0	1	0	0	SIB1
0.105	gNB PHY Txed	10	5	0	3	0	0	SIB1
0.11	gNB PHY Txed	11	0	0	1	0	0	MIB
0.11	gNB PHY Txed	11	0	0	3	0	0	MIB
0.115	gNB PHY Txed	11	5	0	1	0	0	SIB1
0.115	gNB PHY Txed	11	5	0	3	0	0	SIB1
0.12	gNB PHY Txed	12	0	0	1	0	0	MIB
0.12	gNB PHY Txed	12	0	0	3	0	0	MIB
0.125	gNB PHY Txed	12	5	0	1	0	0	SIB1
0.125	gNB PHY Txed	12	5	0	3	0	0	SIB1
