Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0	gNB PHY Txed	0	0	0	1	0	0	MIB
0.005	gNB PHY Txed	0	5	0	1	0	0	SIB1
0.01	gNB PHY Txed	1	0	0	1	0	0	MIB
0.015	gNB PHY Txed	1	5	0	1	0	0	SIB1
0.02	gNB PHY Txed	2	0	0	1	0	0	RAR
0.02	gNB PHY Txed	2	0	0	1	0	0	MIB
0.022	gNB PHY Txed	2	2	0	1	0	0	UL_UCI
0.023	gNB PHY Txed	2	3	0	1	0	0	UL_UCI
0.025	gNB PHY Txed	2	5	0	1	0	0	SIB1
0.025	gNB PHY Txed	2	5	0	1	0	0	UL_UCI
0.03	gNB PHY Txed	3	0	0	1	0	0	MIB
0.035	gNB PHY Txed	3	5	0	1	0	0	SIB1
0.037	gNB PHY Txed	3	7	0	1	0	0	UL_UCI
0.039	gNB PHY Txed	3	9	0	1	0	0	UL_UCI
0.04	gNB PHY Txed	4	0	0	1	0	0	MIB
0.045	gNB PHY Txed	4	5	0	1	0	0	SIB1
0.05	gNB PHY Txed	5	0	0	1	0	0	MIB
0.055	gNB PHY Txed	5	5	0	1	0	0	SIB1
0.057	gNB PHY Txed	5	7	0	1	0	0	UL_UCI
0.06	gNB PHY Txed	6	0	0	1	0	0	MIB
0.065	gNB PHY Txed	6	5	0	1	0	0	SIB1
0.07	gNB PHY Txed	7	0	0	1	0	0	UL_UCI
0.07	gNB PHY Txed	7	0	0	1	0	0	MIB
0.075	gNB PHY Txed	7	5	0	1	0	0	SIB1
0.08	gNB PHY Txed	8	0	0	1	0	0	MIB
0.08	gNB PHY Txed	8	0	0	1	0	0	UL_UCI
0.085	gNB PHY Txed	8	5	0	1	0	0	UL_UCI
0.085	gNB PHY Txed	8	5	0	1	0	0	SIB1
0.089	gNB PHY Txed	8	9	0	1	0	0	UL_UCI
0.09	gNB PHY Txed	9	0	0	1	0	0	MIB
0.095	gNB PHY Txed	9	5	0	1	0	0	SIB1
0.1	gNB PHY Txed	10	0	0	1	0	0	MIB
0.102	gNB PHY Txed	10	2	0	1	0	0	UL_UCI
0.103	gNB PHY Txed	10	3	0	1	0	0	UL_UCI
0.105	gNB PHY Txed	10	5	0	1	0	0	SIB1
0.105	gNB PHY Txed	10	5	0	1	0	0	UL_UCI
0.11	gNB PHY Txed	11	0	0	1	0	0	MIB
0.115	gNB PHY Txed	11	5	0	1	0	0	SIB1
0.117	gNB PHY Txed	11	7	0	1	0	0	UL_UCI
0.119	gNB PHY Txed	11	9	0	1	0	0	UL_UCI
0.12	gNB PHY Txed	12	0	0	1	0	0	MIB
0.125	gNB PHY Txed	12	5	0	1	0	0	SIB1
0.13	gNB PHY Txed	13	0	0	1	0	0	MIB
0.135	gNB PHY Txed	13	5	0	1	0	0	SIB1
0.137	gNB PHY Txed	13	7	0	1	0	0	UL_UCI
0.14	gNB PHY Txed	14	0	0	1	0	0	MIB
0.145	gNB PHY Txed	14	5	0	1	0	0	SIB1
0.15	gNB PHY Txed	15	0	0	1	0	0	MIB
0.15	gNB PHY Txed	15	0	0	1	0	0	UL_UCI
0.155	gNB PHY Txed	15	5	0	1	0	0	SIB1
0.16	gNB PHY Txed	16	0	0	1	0	0	MIB
0.16	gNB PHY Txed	16	0	0	1	0	0	UL_UCI
0.165	gNB PHY Txed	16	5	0	1	0	0	UL_UCI
0.165	gNB PHY Txed	16	5	0	1	0	0	SIB1
0.169	gNB PHY Txed	16	9	0	1	0	0	UL_UCI
0.17	gNB PHY Txed	17	0	0	1	0	0	MIB
0.175	gNB PHY Txed	17	5	0	1	0	0	SIB1
0.18	gNB PHY Txed	18	0	0	1	0	0	MIB
0.182	gNB PHY Txed	18	2	0	1	0	0	UL_UCI
0.183	gNB PHY Txed	18	3	0	1	0	0	UL_UCI
0.185	gNB PHY Txed	18	5	0	1	0	0	SIB1
0.185	gNB PHY Txed	18	5	0	1	0	0	UL_UCI
0.19	gNB PHY Txed	19	0	0	1	0	0	MIB
0.195	gNB PHY Txed	19	5	0	1	0	0	SIB1
0.197	gNB PHY Txed	19	7	0	1	0	0	UL_UCI
0.199	gNB PHY Txed	19	9	0	1	0	0	UL_UCI
0.2	gNB PHY Txed	20	0	0	1	0	0	MIB
0.205	gNB PHY Txed	20	5	0	1	0	0	SIB1
0.21	gNB PHY Txed	21	0	0	1	0	0	MIB
0.215	gNB PHY Txed	21	5	0	1	0	0	SIB1
0.217	gNB PHY Txed	21	7	0	1	0	0	UL_UCI
0.22	gNB PHY Txed	22	0	0	1	0	0	MIB
0.225	gNB PHY Txed	22	5	0	1	0	0	SIB1
0.23	gNB PHY Txed	23	0	0	1	0	0	UL_UCI
0.23	gNB PHY Txed	23	0	0	1	0	0	MIB
0.235	gNB PHY Txed	23	5	0	1	0	0	SIB1
0.24	gNB PHY Txed	24	0	0	1	0	0	MIB
0.24	gNB PHY Txed	24	0	0	1	0	0	UL_UCI
0.245	gNB PHY Txed	24	5	0	1	0	0	SIB1
0.245	gNB PHY Txed	24	5	0	1	0	0	UL_UCI
0.249	gNB PHY Txed	24	9	0	1	0	0	UL_UCI
0.25	gNB PHY Txed	25	0	0	1	0	0	MIB
0.255	gNB PHY Txed	25	5	0	1	0	0	SIB1
0.26	gNB PHY Txed	26	0	0	1	0	0	MIB
0.262	gNB PHY Txed	26	2	0	1	0	0	UL_UCI
0.263	gNB PHY Txed	26	3	0	1	0	0	UL_UCI
0.265	gNB PHY Txed	26	5	0	1	0	0	UL_UCI
0.265	gNB PHY Txed	26	5	0	1	0	0	SIB1
0.27	gNB PHY Txed	27	0	0	1	0	0	MIB
